Unnamed: 0,datetime,open,high,low,close,volume,shadow,abs_diff,avg_abs_diff_15d,new_column,signal_1,HL,HC,LC,TR,ATR,Upper Band,Lower Band,Supertrend,In Uptrend,Tenkan-sen,Kijun-sen,Senkou Span A,Senkou Span B,Chikou Span,Buy Signal,Sell Signal,signal_2,combined_signal,signal,signals,trade_type
1496,2023-10-13,26744.0,27120.8,26670.1,26849.8,243222.154,-2.5614366729678815,105.79999999999927,780.101382638642,0.0,0,450.7000000000007,376.7999999999993,73.90000000000146,450.7000000000007,594.1599999999999,28677.929999999997,25869.98,25869.98,True,27487.5,27289.0,27388.25,26750.5,26514.2,False,False,0,0.0,0,0,hold
1497,2023-10-14,26849.7,26986.4,26773.1,26836.3,82164.781,4.716417910447303,13.400000000001455,783.890719768865,0.0,0,213.3000000000029,136.60000000000218,76.70000000000073,213.3000000000029,491.4200000000004,28354.010000000002,25869.98,25869.98,True,27487.5,27289.0,27388.25,26750.5,26749.9,False,False,0,0.0,0,0,hold
1498,2023-10-15,26836.4,27456.1,26790.4,27139.8,160000.462,-1.0425181278839866,303.3999999999978,787.7787918594502,0.0,0,665.6999999999971,619.7999999999993,45.89999999999782,665.6999999999971,535.3,28729.15,25869.98,25869.98,True,27303.5,27289.0,27296.25,26750.5,27196.0,False,False,0,0.0,0,0,hold
1499,2023-10-16,27139.8,30720.0,27095.4,28486.3,823003.782,-1.6588934274043823,1346.5,926.2430546961455,0.001232004030749634,-1,3624.5999999999985,3580.2000000000007,44.39999999999782,3624.5999999999985,1071.7,32122.800000000003,25869.98,25869.98,True,28622.5,28342.5,28482.5,27804.0,27107.7,True,False,1,-1.0,-1,-1,square_off
1500,2023-10-17,28486.3,28605.0,28055.0,28381.9,314189.758,3.131226053639926,104.39999999999782,899.9250258672772,0.0,0,550.0,118.70000000000073,431.2999999999993,550.0,1100.86,31632.58,25869.98,25869.98,True,28622.5,28342.5,28482.5,27804.0,26552.6,False,False,0,0.0,0,0,hold
1501,2023-10-18,28382.0,29100.0,28126.6,28307.1,297176.628,2.4098798397863352,74.90000000000146,899.7564251220576,0.0,0,973.4000000000015,718.0999999999985,255.3000000000029,973.4000000000015,1205.4,32229.5,25869.98,25869.98,True,28622.5,28342.5,28482.5,27804.0,26566.7,False,False,0,0.0,0,0,hold
1502,2023-10-19,28307.2,28933.4,28076.0,28696.9,333673.207,-0.60687708493713,389.7000000000007,903.7308959022889,0.0,0,857.4000000000015,626.3000000000029,231.09999999999854,857.4000000000015,1334.2199999999998,32507.36,25869.98,25869.98,True,28622.5,28342.5,28482.5,27804.0,26563.1,True,False,1,1.0,1,1,long
1503,2023-10-20,28697.0,30243.0,28560.0,29653.0,551005.327,-0.6171548117154811,956.0,1016.5837821097446,0.0,0,1683.0,1546.0999999999985,136.90000000000146,1683.0,1537.6800000000003,34014.54,25869.98,25869.98,True,28627.4,28342.5,28484.95,27804.0,26232.4,True,False,1,1.0,1,0,hold
1504,2023-10-21,29653.0,30374.6,29443.5,29895.4,258195.956,-1.976897689768953,242.40000000000146,993.1771325767381,0.0,0,931.0999999999985,721.5999999999985,209.5,931.0999999999985,998.9800000000002,32905.99,26912.11,26912.11,True,28695.05,28385.0,28540.025,27804.0,26290.5,True,False,1,1.0,1,0,hold
1505,2023-10-22,29895.4,30229.7,29606.6,29981.5,198602.758,-2.8826945412311837,86.09999999999854,991.7635104134256,0.0,0,623.1000000000022,334.2999999999993,288.8000000000029,623.1000000000022,1013.6000000000007,32958.950000000004,26912.11,26912.11,True,28746.55,28385.0,28565.775,27804.0,26208.8,True,False,1,1.0,1,0,hold
